ItemId,Eas,Specification,LocalDescription,Outlet,Address,CollDay,Active,Dec-08,Mar-09,Jun-09,Sep-09,Dec-09,Mar-10,Jun-10,Sep-10,Dec-10,Mar-11,Jun-11,Sep-11,Dec-11,Mar-12,Jun-12,Sep-12,Dec-12,Mar-13,Jun-13,Sep-13,Dec-13,Mar-14,Jun-14,Sep-14,Dec-14,Mar-15,Jun-15,Sep-15,Dec-15,Mar-16,Jun-16,Sep-16,Dec-16,Mar-17,Jun-17,Sep-17,Dec-17,Mar-18,Jun-18,Sep-18,Dec-18,Mar-19,Jun-19,Sep-19,Dec-19,Mar-20,Jun-20,
287,Pumpkin,"Pumpkin, per Kg","Pumpkin, 5 medium size, yellow, 200-300vt",Market House, ,0,Y,4.2,4.2,4.3,4.4,4.4,12.8,7.6,,,,5.9,,,,,4,6,,,,6,6,6,6,6,6,5.6,23.55,6,14.43,14.43,5.6,6,6,12.53,4.3,14.43,9.35,8.04,9.92,14.76,,17.41,7.94,9.68,14.6,,
288,Garlic,"Garlic, loose, per Kg","Garlic, 1Kg",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,,,
289,Garlic,"Garlic, loose, per Kg","Garlic, 1Kg",Au Bon Marche Manples, ,0,Y,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,
290,Garlic,"Garlic, loose, per Kg","Garlic, 1Kg",Traverso, ,0,Y,1,1,1,1,,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,
291,Corn,"Corn, loose, per Kg","Sweet Corn, 1Kg",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,,1,,,,,,,,,0.714,,1,,,,1,1,1,1,1,1,,1,1,1,1,,1,1,,,,,,,,,,,,,,
292,Corn,"Corn, loose, per Kg","Sweet Corn, 1Kg",Au Bon Marche Manples, ,0,Y,1,1,1,1,1,1,,,,,,,,,,,1,,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,,1,,,,,,,,,,
293,Corn,"Corn, loose, per Kg","Sweet Corn, Pkt",Traverso, ,0,Y,1,1,1,1,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0.254,0.188,,,
294,Corn,"Corn, loose, per Kg","Corn, local,5 bundles, 100vt",Market House, ,0,Y,3.6,3.6,3.4,3.2,3.2,4.4,4.8,,,,,,,,3.18,4.7,4.9,6.18,6.18,6.18,4.9,3.8,3.8,3.8,3.8,3.8,3.5,1.8,3.8,,,3.5,3.8,3.8,2.56,,,9.75,6.12,7.64,7.85,6.78,,,,,,
295,Onion,"Onions, loose, per Kg","Onions, 1Kg",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
296,Onion,"Onions, loose, per Kg","Onions, 1Kg",Au Bon Marche Manples, ,0,Y,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,
297,Onion,"Onions, loose, per Kg","Onions, 1Kg",Traverso, ,0,Y,1,1,1,1,,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,
298,Beema (chili),"Chilli, loose, per Kg","Chili, local, 5 plastics for 100vt",Market House, ,0,Y,1,1,1.1,0.8,0.8,1.5,0.9,,,,0.3,,,0.8,0.62,0.85,0.98,0.72,0.72,0.72,0.98,0.79,0.79,0.79,0.79,0.79,0.235,0.6,0.79,,,0.235,0.79,0.79,,,2.16,1.6,0.95,1.25,1.99,1.01,1.22,1.54,1.67,1.06,,
299,Bowl cabbage,"Cabbage, bowl, per Kg","Bowl cabbage, single, local, 5 medium size, 100-200vt",Market House, ,0,Y,4.2,4.2,4.2,4.2,4.2,4.2,4.6,,,,,,,,,2.51,2.73,,,,2.73,2.78,2.78,2.78,2.78,2.78,3.1,2.8,2.78,5.35,5.35,3.1,2.78,2.78,7.41,,2.16,8.95,,6.66,5.97,,0.66,4.74,8.34,3.28,,
300,Chinese cabbage,"Cabbage, Chinese, per Kg","Chinese cabbage, local, medium size, 5 bundles, 100-200vt",Market House, ,0,Y,4.2,4,4.2,4.2,4.2,1.2,3.5,3,3,3,2.6,,,2.8,3.56,3.7,4,,,,4,3.7,3.7,3.7,3.7,3.7,5.66,10.05,3.7,3.36,3.36,5.66,3.7,3.7,6.89,3.1,4.28,5.95,7.87,8.71,4.82,,5.67,6.51,6.7,,,
302,Ginger,"Ginger, loose, per Kg","Ginger, local, 5 bundles/plastics, 200vt",Market House, ,0,Y,1.7,1.5,8.5,8.5,8.5,1.9,1.2,,,,1.9,,,,2,0.91,1.3,0.99,0.99,0.99,1.3,1.4,1.4,1.4,1.4,1.4,1.23,,1.4,,,1.23,1.4,1.4,,,1.25,0.9,1.12,1,0.65,0.74,0.46,0.95,,,,
303,"Laplap (Yam, banana)","Laplap (Yam, banana), standard?, per Kg?","4 pieces Laplap, local, medium size, yam, banana, taro, manioc",Market House, ,10,N,1,1,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,"Herbs, fresh","Parsley, bunch, per Kg","Parsley, local, 10 bundles, 100vt",Market House, ,0,Y,1.5,1.5,1.1,1.1,1.1,0.2,0.5,,,,,,,,1.2,,1.3,2,2,2,1.3,1.5,1.5,1.5,1.5,1.5,1.3,,1.5,,,1.3,1.5,1.5,,,0.51,0.47,0.45,0.65,0.44,0.45,0.355,0.44,,,,
306,Pumpkin top,"Pumpkin top, loose, per Kg","Top of pumkin, local, 3 medium size bundles, 100 - 150vt",Market House, ,0,Y,1,1,2.9,3.2,3.2,2.4,1.7,,,,3,,,,3.42,2.5,3.56,6.93,6.93,6.93,3.56,3.66,3.66,3.66,3.66,3.66,,,3.66,1.6,1.6,,3.66,3.66,3.2,,,,9.28,,,,3.05,2.19,,,,
